requirement,configuration
"The requirement is to configure a network with GigabitEthernet interfaces for ingress and egress traffic, and assign them to zones with a classmap. Interfaces should be configured for redundancy, and the ""inspect"" action should invoke the ALG to open a pinhole for controlled access.","1. Configure GigabitEthernet interfaces as ingress and egress interfaces
   - GigabitEthernet 0/1/1 is the ingress interface
   - GigabitEthernet 0/2/1 is the egress interface

2. Assign interfaces to zones and define classmap for traffic between zones

3. Configure interfaces for redundancy
   - redundancy mode none
   - application redundancy group 2
   - preempt
   - priority 200 failover threshold 100
   - control GigabitEthernet 0/0/4 protocol 2
   - data GigabitEthernet 0/0/3

4. Configure timers for Hello and Holdtime
   - timers hellotime ms 250 holdtime ms 750

5. Configure a VRF
   - ip vrf vrf1

6. Configure parameter maps to add parameters that control the behavior of actions and match criteria
   - parameter-map type inspect"
"Configure redundancy with RII on the device, including zone-based policy firewall.","```
redundancy rii 21
security z-int zone-member security
negotiation auto
redundancy group 2 ip 192.0.2.12 exclusive decrement 50
```"
Firewall Stateful Interchassis Redundancy feature for configuring pairs of devices as backups for each other.,"application redundancy, authentication, control, data, debug redundancy application group config, debug redundancy application group faults, debug redundancy application group media, debug redundancy application group protocol, debug redundancy application group group rii, debug redundancy application group transport, debug redundancy application group vp, group, name, preempt, priority, protocol, redundancy rii, redundancy group, track, timers delay, timers hellotime, show"
"Implement redundancy application in the transport, control-interface, and application group. Show redundancy application details.",Cisco IOS XE Release 3.1(S) (or 3.14S for VRF-aware interchassis redundancy).
Box-to-Box High Availability Support for IPv6 Zone-Based Firewalls,"Pairs of devices configured to act as backup for each other, based on redundancy groups (RGs) on IPv6 firewalls. Supports the FTP66 application-layer gateway (ALG) for IPv6 packet inspection."
Box-to-Box High Availability Support for IPv6 in Zone-Based Firewalls,"1. Interfaces attached to a firewall must have the same redundant interface identifier (RII).
2. Active and standby devices must have the same zone-based policy firewall configuration.
3. Active and standby devices must run on identical versions of Cisco software. The active and standby devices must be connected through a switch.
4. The box-to-box (B2B) configuration on both active and standby devices should be the same because there is no autosynchronization of the configuration between these devices.
5. For asymmetric routing traffic to pass, you must configure the pass action for the class-default class. The class-default class is a system-defined class map that represents all packets that do not match any of the user-defined classes in a policy.
6. If you configure a zone pair between two LAN interfaces, ensure that you configure the same redundancy group (RG) on both interfaces. The zone pair configuration"
Box-to-Box High Availability Support for IPv6 Zone-Based Firewalls,"Not applicable, as there is no specific configuration mentioned in the text."
"High availability support for IPv6, zone-based policy firewall with failover and asymmetric routing capabilities.","Active/active or active/standby high availability failover, standby redundancy group with periodic synchronization of session information from the active device."
"Redundancy Group Configuration for Two Outgoing Interfaces with configurable control link, data synchronization link, and interlink interface. Asymmetric routing support in a LAN-WAN scenario.","Unique ID number (Redundant Interface Identifier) for pairs of redundant interfaces, configuration of dedicated interface (interlink interface) for asymmetric traffic, and non-synchronization of the routing table from active to standby."
Configure a unique RII (Redundant Interface ID) for each pair of redundant interfaces.,"Priority setting and weight configuration for each device, along with preemption attribute and interface priority decrease when Layer 1 state goes down."
"Network activity test, ARP test, Broadcast ping test, Active/Active Failover","Active/Active failover, VMAC addresses for interfaces in each redundancy group (RG), primary/secondary designation determining running configuration and active state"
"Configure primary or secondary device preference, failover RGs active state on a single device, and standby state on the other device.",Box-to-Box High Availability Support for IPv6 Zone-Based Firewalls in Active/Active Failover mode.
Active/Standby Failover for failover pair of network devices,"- Standby device takes over functionality of failed device
- Failed active device changes to standby state
- Standby device changes to active state and takes over IP addresses and MAC addresses of failed device
- Device in active state processes traffic
- Device in standby state takes over standby IP addresses and MAC addresses"
Configuring an external device for failover on WAN links and setting up high availability virtual IP addresses on LAN-based interfaces.,"Use the redundancy group id ip virtual-ip decrement value command for WAN-based interfaces, and set up a high availability virtual IP address for LAN-based interfaces."
Redundancy Group (RG) management with VIP and VMAC ownership.,"Assigning IPv4 and IPv6 virtual IP (VIP) addresses under the same redundancy interface identifier (RII), with unique virtual MAC (VMAC) addresses per RII."
Enabling high availability support for IPv6 in a zone-based firewall by configuring the redundancy group protocol.,"1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. protocol id (Select an appropriate protocol ID)
6. name group-name (Enter a unique name for the redundancy group)"
Configuring a Control Interface and a Data Interface,"1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. group id
6. data interface-type interface-number
7. control interface-type interface-number protocol id
8. timers delay seconds [reload seconds]
9. end"
Specifying the control interface for the redundancy group,control gigabitethernet 0/0/2 protocol 1
Configure an interface and enter interface configuration mode. Add a description to an interface configuration. Set the encapsulation method used by the interface. Associate a VPN routing and forwarding (VRF) instance with an interface or subinterface. Configure an IPv6 address based on an IPv6 general prefix and enable IPv6 processing on an interface.,"1. Example: Step 3 - Command: Device(config)# interface gigabitethernet 2/0/2
2. Example: Step 4 - Optional: Add a description to an interface configuration - Command: Device(config-if)# description lan interface
3. Example: Step 5 - Command: Device(config-if)# encapsulation dot1q 18
4. Example: Step 6 - Command: Device(config-if)# ip vrf forwarding trust
5. Example: Step 7 - Command: Device(config-if)# ipv6 address 2001:0DB8:1:1:FFFF:FFFF:FFFF:FFFE/64"
Zone member security zone-name,Configure one of the zones using the zone security command while configuring a firewall. Example: Device(config-if)# zone member security z1
Configure an IPv6 address based on an IPv6 general prefix and enable IPv6 processing on an interface.,ipv6 address {ipv6-prefix/prefix-length | prefix-name sub-bits/prefix-length}
TCP SYN packet size adjustment on a router,ip tcp adjust-mss max-segment-size
VRF configuration and IPv6 address family configuration.,"vrf-definition VRF1, address-family ipv6."
- Class-map: ipv6-class (match-any),- Service-policy inspect : in-to-out
Configure a WAN traffic interface with redundancy groups for a WAN-LAN scenario.,"1. Configure the interface: `gigabitethernet 2/0/2`
2. Set description: `description lan interface`
3. Configure encapsulation: `encapsulation dot1q 18`
4. Configure VRF forwarding trust: `ip vrf forwarding trust`
5. Configure IPv6 address: `ipv6 address 2001:0DB8:1:1:FFFF:FFFF:FFFF:FFFE/64`
6. Configure zone member security: `zone member security z1`
7. Configure redundancy: `redundancy rii 100`
8. Configure redundancy group: `redundancy group 1 ipv6 2001:0DB8:1:1:FFFF:FFFF:FFFF:FFFE exclusive`
9. Decrement value: `decrement 50`
10. End the configuration: `end`"
Box-to-Box High Availability Support for IPv6 Zone-Based Firewalls,"Cisco IOS XE Release 3.8S, Cisco ISR 4400 Series Routers"
